"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"ENSG00000160072",49.4371288760663,-0.142082172448735,0.376511143024371,-0.377365119415704,0.705902284687821,0.844562596345419,1
"ENSG00000131584",16.8631909082963,0.132722172037417,0.482792862632195,0.274905000280687,0.783389225438751,0.893163477798363,1
"ENSG00000169972",22.1443270878326,0.0510681639943262,0.465935243212937,0.109603565598895,0.912723782758828,0.97933716718937,1
"ENSG00000157911",20.2018097791972,-0.178231898577714,0.43691240161797,-0.407935087028171,0.683321332275857,0.829967190907774,1
"ENSG00000224051",21.0463307235646,2.27650778777258,0.716518761695084,3.17717819752129,0.00148715628812452,0.020377682606504,0.542147831511416
"ENSG00000157933",354.701802644855,-0.000220887500554773,0.124581756888202,-0.0017730324733901,0.998585325504886,0.993023582791028,1.07180620776047
"ENSG00000162591",7.22310159827386,1.20607608855291,1.18285110980097,1.01963474401765,0.307901720742742,0.749190569783487,0.542147831511416
"ENSG00000116285",32.6150448233617,0.492869885042423,0.449188513746849,1.09724507630707,0.272534273210743,0.596195817829123,0.698449483630123
"ENSG00000142655",49.5619746350306,0.146694311891935,0.440316711924332,0.333156357501924,0.739016259723806,0.865586838491271,1
"ENSG00000162441",429.430584705768,-0.511740388504397,0.189339941672757,-2.70275982966582,0.00687664144361685,0.0364677954331067,1.13290560769384
"ENSG00000074800",3603.32434450324,-0.855379184155176,0.114133343450605,-7.49455994448608,6.65211614803187e-14,1.28067361874531e-11,1.40058761104078
"ENSG00000116786",136.156507237778,0.108100461566757,0.21754359642922,0.496914013288039,0.619249689116221,0.737096183639356,1.12172056394008
"ENSG00000176022",41.7367094236252,0.555439739061692,0.388877782369861,1.42831440684728,0.153201382940187,0.419827418065954,0.686717183744611
"ENSG00000162496",17.4310974656477,0.501978039184174,0.69255237576307,0.724823214462419,0.468560492175082,0.667645643417565,1
"ENSG00000173614",50.7191328445117,-0.397091298886261,0.389579107480619,-1.01928283950909,0.308068708481619,0.651598910465181,0.686717183744611
"ENSG00000162592",7.82209529472362,-0.893002835713459,1.0031289624145,-0.890217378993854,0.373349174670599,0.581832861310655,1
"ENSG00000049245",675.833265355848,-0.277508225351409,0.132308163333196,-2.09743842224271,0.0359547828419704,0.120271182197282,1.08200118833459
"ENSG00000171603",123.072872463615,0.0962493831883064,0.212280270652213,0.45340710605177,0.650255620478982,0.807225682126639,1
"ENSG00000158109",326.722310265117,0.101035906852932,0.191359259671864,0.527990686346636,0.597505800282738,0.745490564490207,1.06206708398798
