"","ProE.Infected.21","ProE.Infected.22","ProE.Infected.31","ProE.Infected.32"
"PF3D7_1423700",1415.27001862197,1378.26148947293,860.836712028865,1381.27785137902
"PF3D7_1431200",202.772605007242,246.272429153471,164.728012795647,816.722871251355
"PF3D7_1427900",115.870060004138,77.7702407853066,79.7071029656356,259.695290858726
"PF3D7_1405800",227.601903579557,462.300875779323,467.615004065062,771.558472841142
"PF3D7_1469300",165.528657148769,77.7702407853066,61.1087789403206,188.184993375888
"PF3D7_1405900",318.64266501138,151.219912638096,430.418356014432,222.058292183548
"PF3D7_1468100",5859.71446306642,3361.40262949825,4314.81117387307,3349.69288209081
"PF3D7_1446500",1117.31843575419,1196.79759430722,1299.22577833986,1008.67156449476
"PF3D7_1434600",297.951582867784,302.439825276192,892.719553215119,391.424786221848
"PF3D7_1428500",103.455410717981,198.746170895784,90.334716694387,94.0924966879441
"PF3D7_1412800",86.9025450031037,233.31072235592,178.012529956586,176.893893773335
"PF3D7_1410200",566.935650734533,423.415755386669,345.397446184421,274.750090328797
"PF3D7_1441200",889.716532174633,1162.23304284708,940.5438149945,963.507166084548
"PF3D7_1429400",231.740120008276,423.415755386669,526.066879573195,511.863181982416
"PF3D7_1439200",95.1789778605421,90.7319475828577,92.9916201265749,526.917981452487
"PF3D7_1439500",194.496172149803,73.4496718527896,87.6778132621992,45.1643984102132
"PF3D7_1419700",889.716532174633,587.597374822317,1004.30949736701,700.048175358304
"PF3D7_1411500",95.1789778605421,198.746170895784,127.531364745017,105.383596290497
"PF3D7_1414300",1415.27001862197,890.037200098509,789.100319359793,1174.27435866554
"PF3D7_1447200",202.772605007242,51.8468271902044,356.025059913172,71.5102974828375
"PF3D7_1464600",1001.44837575005,1006.69256127647,1474.58140486426,677.465976153198
"PF3D7_1414100",157.25222429133,185.784464098232,193.953950549713,52.6917981452487
"PF3D7_1402700",182.081522863646,129.617067975511,95.6485235587627,158.075394435746
"PF3D7_1408200",1013.86302503621,890.037200098509,964.455945884191,1294.71275442611
