Gene.ID,ProE.Media.11,ProE.Media.12,ProE.Media.21,ProE.Media.22,ProE.Media.31,ProE.Media.32,ProE.SRS.11,ProE.SRS.12,ProE.SRS.21,ProE.SRS.22,ProE.SRS.31,ProE.SRS.32,ProE.Uninfected.12,ProE.Uninfected.21,ProE.Uninfected.22,ProE.Uninfected.31,ProE.Uninfected.32,ProE.Infected.21,ProE.Infected.22,ProE.Infected.31,ProE.Infected.32,BasoE.Media.11,BasoE.Media.12,BasoE.Media.21,BasoE.Media.22,BasoE.Media.31,BasoE.Media.32,BasoE.SRS.11,BasoE.SRS.12,BasoE.SRS.21,BasoE.SRS.22,BasoE.SRS.31,BasoE.SRS.32,BasoE.Uninfected.21,BasoE.Uninfected.22,BasoE.Uninfected.31,BasoE.Uninfected.32,BasoE.Infected.12,BasoE.Infected.22,BasoE.Infected.31,BasoE.Infected.32,PolyE.Media.11,PolyE.Media.12,PolyE.Media.21,PolyE.Media.22,PolyE.Media.31,PolyE.SRS.11,PolyE.SRS.12,PolyE.SRS.21,PolyE.SRS.22,PolyE.SRS.31,PolyE.SRS.32,PolyE.Uninfected.11,PolyE.Uninfected.12,PolyE.Uninfected.21,PolyE.Uninfected.22,PolyE.Uninfected.31,PolyE.Uninfected.32,PolyE.Infected.11,PolyE.Infected.12,PolyE.Infected.21,PolyE.Infected.22,PolyE.Infected.31,OrthoE.Media.11,OrthoE.Media.12,OrthoE.Media.21,OrthoE.Media.22,OrthoE.Media.32,OrthoE.SRS.11,OrthoE.SRS.12,OrthoE.SRS.21,OrthoE.SRS.22,OrthoE.SRS.31,OrthoE.SRS.32,OrthoE.Uninfected.11,OrthoE.Uninfected.12,OrthoE.Uninfected.21,OrthoE.Uninfected.22,OrthoE.Uninfected.32,OrthoE.Infected.11,OrthoE.Infected.12,OrthoE.Infected.21,OrthoE.Infected.22
PF3D7_1468600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,2,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,21,11,52,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123,274,112,118
PF3D7_1465800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,25,8,26,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,7,19,4,27,76,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,242,586,239,337
PF3D7_1465700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,13,2
PF3D7_1448900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,8
PF3D7_1455800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,73
PF3D7_1429900,4,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,18,3,80,31,0,0,1,0,1,0,2,0,0,1,3,3,1,2,0,0,67,27,75,97,0,0,0,1,0,1,0,0,2,0,3,0,2,1,0,0,0,68,213,61,166,656,1,0,0,1,0,0,0,0,2,0,2,1,0,0,1,0,1192,3359,824,1895
PF3D7_1460600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,8,9
PF3D7_1451700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,27,2
PF3D7_1461200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,12,9,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,19,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,4,20,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,211,245,161,318
PF3D7_1423700,8,4,6,5,5,1,4,1,8,2,7,10,2,6,5,4,6,342,319,324,367,3,7,3,6,8,5,7,3,4,4,11,5,6,9,3,14,614,615,465,952,5,4,5,3,8,3,3,5,6,4,6,7,16,11,11,8,4,1050,1006,880,2196,4196,5,3,7,8,5,9,8,7,9,6,8,33,126,20,8,49,15066,20388,13923,14778
PF3D7_1461000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,12,119
PF3D7_1469900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,47,129,57,78
PF3D7_1431200,1,2,1,4,0,1,1,0,2,1,2,0,1,2,0,0,2,49,57,62,217,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,51,120,70,153,0,1,1,1,1,0,2,2,0,0,3,2,0,6,1,0,2,109,106,182,333,709,1,1,2,1,0,0,0,2,0,0,0,4,23,6,2,0,1640,2905,1154,2099
