Gene.ID,ProE.Infected.21,ProE.Infected.22,ProE.Infected.31,ProE.Infected.32,BasoE.Infected.12,BasoE.Infected.22,BasoE.Infected.31,BasoE.Infected.32,PolyE.Infected.11,PolyE.Infected.12,PolyE.Infected.21,PolyE.Infected.22,PolyE.Infected.31,OrthoE.Infected.11,OrthoE.Infected.12,OrthoE.Infected.21,OrthoE.Infected.22
PF3D7_1468600,0,14,0,3,1,8,2,8,13,21,11,52,95,123,274,112,118
PF3D7_1465800,12,15,0,2,6,25,8,26,7,19,4,27,76,242,586,239,337
PF3D7_1465700,5,0,0,0,0,0,0,0,3,0,0,5,6,14,3,13,2
PF3D7_1448900,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,9,8
PF3D7_1455800,0,0,0,0,0,0,0,0,4,0,0,2,0,11,0,2,73
PF3D7_1429900,18,3,80,31,67,27,75,97,68,213,61,166,656,1192,3359,824,1895
PF3D7_1460600,1,0,3,0,2,0,0,0,3,0,8,7,1,34,17,8,9
PF3D7_1451700,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,27,2
PF3D7_1461200,7,12,9,3,19,2,0,20,29,12,4,20,47,211,245,161,318
PF3D7_1423700,342,319,324,367,614,615,465,952,1050,1006,880,2196,4196,15066,20388,13923,14778
PF3D7_1461000,0,0,0,0,10,0,0,0,1,1,0,0,0,35,23,12,119
PF3D7_1469900,2,0,0,1,0,0,0,0,4,3,0,0,17,47,129,57,78
PF3D7_1431200,49,57,62,217,51,120,70,153,109,106,182,333,709,1640,2905,1154,2099
PF3D7_1462200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
PF3D7_1443600,0,1,23,0,0,0,0,0,6,8,0,19,18,121,585,56,49
PF3D7_1455300,10,32,7,0,6,5,20,10,29,13,113,25,86,862,890,1112,902
PF3D7_1427900,28,18,30,69,70,56,134,173,189,110,16,160,442,2767,1496,2102,1902
PF3D7_1479200,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,4,5
PF3D7_1405800,55,107,176,205,188,272,167,289,405,349,292,741,1347,5206,7673,3715,6937
PF3D7_1469300,40,18,23,50,48,83,105,104,115,12,111,200,845,1348,1141,1630,1045
PF3D7_1407200,8,9,16,11,21,11,28,14,53,14,26,106,393,791,618,643,458
PF3D7_1405900,77,35,162,59,76,117,193,263,263,196,192,469,1175,3084,4079,2971,4110
PF3D7_1400800,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,18,8
PF3D7_1468100,1416,778,1624,890,2250,1508,1784,3019,2659,1908,1935,3993,9254,31371,42293,27344,33951
