gene_ids,hrs_0,hrs_8,hrs_16,hrs_24,hrs_32,hrs_40,hrs_48
PF3D7_0100100,35.5,47.7,57.2,33.7,35,48.7,43.8
PF3D7_0100200,24.6,29.4,25.8,24.7,12.7,7.3,15.9
PF3D7_0100300,24.1,34.2,33.1,11.9,14.3,8.3,11
PF3D7_0100400,23.5,35,50.3,28.2,28.1,27.4,16.9
PF3D7_0100500,0,0,0,49.7,0,0,27
PF3D7_0100600,5.4,9.9,12.4,18.5,0,6.7,3.8
PF3D7_0100700,0,0,22.8,0,0,0,0
PF3D7_0100800,5.6,8.2,0,13.8,17.8,20.4,8.9
PF3D7_0100900,12.2,8.1,27.7,23.7,17.5,17,28.6
PF3D7_0101000,12,5.7,12.5,0,11.9,6.8,3.8
PF3D7_0101100,0,8.7,0,5.5,13.2,0,0
PF3D7_0101200,0,0,0,0,0,0,0
PF3D7_0101300,6.5,7.1,10.8,64.5,27.3,36.5,26
PF3D7_0101400,0,0,10,0,0,0,0
PF3D7_0101500,4.9,5.2,12.4,4.4,0,3.9,3.5
PF3D7_0101600,5.3,0,0,18.2,11.7,9.8,0
PF3D7_0101700,0,0,7.9,0,0,0,0
PF3D7_0101800,0,0,9.8,0,13.8,5.1,7.3
PF3D7_0101900,0,20.2,0,7.8,0,7.1,6.3
PF3D7_0102000,0,0,0,0,14.8,23.3,7.9
PF3D7_0102100,42.3,18.7,22.2,5.9,14,12.7,4.7
PF3D7_0102200,99.9,99.5,97.2,82.6,74.5,86.8,87
PF3D7_0102300,13.7,21.8,24.7,81.6,97.1,90.3,90.2
PF3D7_0102400,17.5,13.3,18,9.7,33.1,34.2,19.3
PF3D7_0102500,63.2,66.1,41.1,25.4,21.8,74.6,76.5
PF3D7_0102600,42.8,41.5,85.9,77.2,15.9,24,18.4
PF3D7_0102700,90.6,70.4,53.9,12.8,36.7,50.8,51.3
PF3D7_0102800,15.6,8.8,7.5,28.4,43.6,40.8,40
PF3D7_0102900,74.3,80.1,83.9,88,76.7,66.3,58.6
PF3D7_0103000,19.6,9.4,10.3,9.6,47.8,39.9,39.8
PF3D7_0103100,23.4,15.6,14.4,19.5,31.3,30.1,25.7
PF3D7_0103200,85.9,83.6,92.7,97.3,97.9,98.1,98.4
PF3D7_0103300,53.4,67.9,64.8,50.9,37.7,43.2,49.5
PF3D7_0103400,61.6,53.6,57.7,63.5,72.7,62,68.7
PF3D7_0103500,29.7,17.9,25.9,27,30.6,18.1,22.9
PF3D7_0103600,20.1,32.4,43.1,36.8,34.6,23.7,17.9
PF3D7_0103700,32.4,50.8,45.6,33.1,23.1,25.9,19.7
