"Gene ID","source_id","Input ID","Gene Name or Symbol"
"PF3D7_0100100","PF3D7_0100100.1","PF3D7_0100100","VAR"
"PF3D7_0100200","PF3D7_0100200.1","PF3D7_0100200","RIF"
"PF3D7_0100300","PF3D7_0100300.1","PF3D7_0100300","VAR"
"PF3D7_0100400","PF3D7_0100400.1","PF3D7_0100400","RIF"
"PF3D7_0100600","PF3D7_0100600.1","PF3D7_0100600","RIF"
"PF3D7_0100700","PF3D7_0100700.1","PF3D7_0100700","N/A"
"PF3D7_0100800","PF3D7_0100800.1","PF3D7_0100800","RIF"
"PF3D7_0100900","PF3D7_0100900.1","PF3D7_0100900","RIF"
"PF3D7_0101000","PF3D7_0101000.1","PF3D7_0101000","RIF"
"PF3D7_0101100","PF3D7_0101100.1","PF3D7_0101100","EPF4"
"PF3D7_0101200","PF3D7_0101200.1","PF3D7_0101200","EPF3"
"PF3D7_0101300","PF3D7_0101300.1","PF3D7_0101300","MC-2TM"
"PF3D7_0101600","PF3D7_0101600.1","PF3D7_0101600","RIF"
"PF3D7_0101800","PF3D7_0101800.1","PF3D7_0101800","N/A"
"PF3D7_0101900","PF3D7_0101900.1","PF3D7_0101900","RIF"
"PF3D7_0102200","PF3D7_0102200.1","PF3D7_0102200","RESA"
"PF3D7_0102300","PF3D7_0102300.1","PF3D7_0102300","N/A"
"PF3D7_0102500","PF3D7_0102500.1","PF3D7_0102500","EBA181"
"PF3D7_0102600","PF3D7_0102600.1","PF3D7_0102600","FIKK1"
"PF3D7_0102700","PF3D7_0102700.1","PF3D7_0102700","MaTrA"
"PF3D7_0102800","PF3D7_0102800.1","PF3D7_0102800","N/A"
"PF3D7_0102900","PF3D7_0102900.1","PF3D7_0102900","N/A"
"PF3D7_0103000","PF3D7_0103000.1","PF3D7_0103000","N/A"
"PF3D7_0103100","PF3D7_0103100.1","PF3D7_0103100","VPS51"
"PF3D7_0103200","PF3D7_0103200.1","PF3D7_0103200","NT4"
"PF3D7_0103300","PF3D7_0103300.1","PF3D7_0103300","N/A"
"PF3D7_0103400","PF3D7_0103400.1","PF3D7_0103400","N/A"
"PF3D7_0103500","PF3D7_0103500.1","PF3D7_0103500","N/A"
"PF3D7_0103600","PF3D7_0103600.1","PF3D7_0103600","PSH1"
