Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type	UniProtKB-Gene Ontology Annotation ID	UniProtKB/Swiss-Prot ID
PF3D7_0105200	RAP protein, putative	1	222254	223960	-1		protein_coding		
PF3D7_0101600	rifin	1	81765	83106	-1		protein_coding	Q8I2C1	
PF3D7_0111700	conserved Plasmodium protein, unknown function	1	443585	443938	-1		protein_coding		
PF3D7_0105300	cyclase-associated protein	1	225110	225779	-1		protein_coding	Q8I288	
PF3D7_0104200	StAR-related lipid transfer protein	1	182822	184222	-1		protein_coding	Q8I298	
PF3D7_0109950	conserved Plasmodium protein, unknown function	1	386708	387940	1		protein_coding	A0A143ZXB9	
PF3D7_0104700	transporter, putative	1	210870	213005	1		protein_coding	Q8I292	
PF3D7_0105400.1	conserved Plasmodium protein, unknown function	1	226681	227285	-1		protein_coding	Q8I287	
PF3D7_0108300	conserved Plasmodium protein, unknown function	1	337168	343833	1		protein_coding		
PF3D7_0100300	erythrocyte membrane protein 1, PfEMP1	1	42367	46507	-1		protein_coding	Q9NFB4	
PF3D7_0112800	Plasmodium exported protein (hyp11), unknown function	1	481809	482618	-1		protein_coding	Q9U0N3	
PF3D7_0114700	rifin	1	563703	564842	-1		protein_coding	Q8I2D4	
PF3D7_0111300	replication factor c protein, putative	1	431539	435042	-1		protein_coding	Q8I233	
PF3D7_0106500	conserved Plasmodium protein, unknown function	1	274315	278550	1		protein_coding		
PF3D7_0108400.2	mitochondrial carrier protein, putative	1	345206	346540	-1		protein_coding	A0A143ZV51	
PF3D7_0114500	Plasmodium exported protein (hyp10), unknown function	1	558201	558708	-1		protein_coding	Q8I2D5	
PF3D7_0104300	ubiquitin carboxyl-terminal hydrolase 1,putative	1	190269	201230	1		protein_coding	Q8I296	
PF3D7_0105800	conserved Plasmodium protein, unknown function	1	249231	252010	-1		protein_coding	Q8I283	
PF3D7_0108800	conserved Plasmodium protein, unknown function	1	357834	360339	1		protein_coding	Q8I254	
PF3D7_0102500	erythrocyte binding antigen-181	1	110750	115799	-1		protein_coding	Q8I2B4	
PF3D7_0100700	Plasmodium exported protein, unknown function,fragment	1	56690	56893	-1		protein_coding		
PF3D7_0107000.1	centrin-1	1	293642	294968	1		protein_coding	Q8I272	
PF3D7_0113400	Plasmodium exported protein, unknown function	1	508252	509748	-1		protein_coding	Q9U0M7	
PF3D7_0101100	exported protein family 4	1	69304	70417	-1		protein_coding	O97308	
PF3D7_0104500	conserved protein, unknown function	1	204622	205455	-1		protein_coding		
PF3D7_0105900	DNA binding protein, putative	1	253584	254930	1		protein_coding	Q8I282	
PF3D7_0104800	novel putative transporter 1	1	215776	217509	1		protein_coding	Q8I291	
PF3D7_0114800	Plasmodium exported protein (hyp7), unknown function	1	569485	570272	-1		protein_coding	Q8I2D3	
PF3D7_0107800	double-strand break repair protein MRE11	1	322371	326072	1		protein_coding	A0A143ZUM0	
PF3D7_0107900	conserved Plasmodium protein, unknown function	1	326397	327224	-1		protein_coding		
PF3D7_0109500	N-acetyltransferase, putative	1	376294	377004	-1		protein_coding	Q8I249	
PF3D7_0105600	conserved Plasmodium protein, unknown function	1	230289	234402	-1		protein_coding	Q8I285	
PF3D7_0102300	Plasmodium exported protein, unknown function	1	104704	105209	1		protein_coding	Q8I2B6	
PF3D7_0104000	thrombospondin-related sporozoite protein	1	175609	176376	1		protein_coding	Q8I2A0	
PF3D7_0111600	conserved Plasmodium protein, unknown function	1	442543	443289	-1		protein_coding		
PF3D7_0106700	small ribosomal subunit assembling AARP2 protein	1	281155	285459	1		protein_coding	Q8I275	
PF3D7_0110800	transcription initiation factor TFIIB, putative	1	417921	419607	1		protein_coding	Q8I237	
PF3D7_0111200	conserved Plasmodium protein, unknown function	1	430152	430858	-1		protein_coding		
PF3D7_0101900	rifin	1	90242	91420	-1		protein_coding	Q8I2B9	
PF3D7_0103100	vacuolar protein sorting-associated protein 51,putative	1	134353	139257	-1		protein_coding	Q8I2A9	
PF3D7_0103800	actin-related protein	1	169079	171273	-1		protein_coding	Q8I2A2	
PF3D7_0107400	conserved Plasmodium protein, unknown function	1	302937	303398	1		protein_coding	Q8I267	
PF3D7_0115300	rifin	1	595102	596273	1		protein_coding	Q8I2C7	
PF3D7_0106600	conserved Plasmodium protein, unknown function	1	279115	280014	1		protein_coding		
PF3D7_0111800	eukaryotic translation initiation factor 4E,putative	1	446026	448849	1		protein_coding	B9ZSJ0	
PF3D7_0103700	L-seryl-tRNA(Sec) kinase, putative	1	166513	168687	1		protein_coding	Q8I2A3	
PF3D7_0105400.2	conserved Plasmodium protein, unknown function	1	226681	227285	-1		protein_coding	A0A143ZXZ7	
PF3D7_0112000	TatD-like deoxyribonuclease, putative	1	450831	453118	-1		protein_coding	Q8I226	
PF3D7_0109000	photosensitized INA-labeled protein PHIL1,putative	1	363318	363992	1		protein_coding		
PF3D7_0109300	fatty acid elongation protein, GNS1/SUR4 family,putative	1	371815	373012	-1		protein_coding	Q8I251	
PF3D7_0102600	serine/threonine protein kinase, FIKK family	1	119041	121249	-1		protein_coding	B9ZSH8	
PF3D7_0100100	erythrocyte membrane protein 1, PfEMP1	1	29510	37126	1		protein_coding	Q9NFB6	
PF3D7_0103500	conserved Plasmodium protein, unknown function	1	154176	160426	1		protein_coding	B9ZSI1	
PF3D7_0114100	Pfmc-2TM Maurer's cleft two transmembrane protein	1	547597	548380	-1		protein_coding	B9ZSJ3	
PF3D7_0110400	DNA-directed RNA polymerase II subunit RPB9,putative	1	393875	394835	-1		protein_coding	Q8I241	
PF3D7_0110200	FAD-linked sulfhydryl oxidase ERV1, putative	1	392604	393035	1		protein_coding	Q8I242	
PF3D7_0102900	aspartate--tRNA ligase	1	128960	130840	-1		protein_coding	Q8I2B1	
PF3D7_0115100	Plasmodium exported protein (PHISTa), unknown function	1	587391	588394	1		protein_coding	Q8I2C9	
PF3D7_0105100	conserved Plasmodium protein, unknown function	1	221202	221633	1		protein_coding		
PF3D7_0107500	lipid/sterol:H+ symporter	1	304362	309257	-1		protein_coding	Q8I266	
PF3D7_0113000	glutamic acid-rich protein	1	487892	490127	-1		protein_coding		
PF3D7_0101300	Pfmc-2TM Maurer's cleft two transmembrane protein	1	74563	75366	1		protein_coding	B9ZSH7	
PF3D7_0101200	exported protein family 3	1	71624	72426	1		protein_coding	O97474	
PF3D7_0108700	secreted ookinete protein, putative	1	352314	356211	-1		protein_coding	Q8I255	
PF3D7_0104400	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	1	202536	204143	1		protein_coding	Q8I295	
PF3D7_0110700	chromatin assembly factor 1 protein WD40 domain,putative	1	413760	415100	-1		protein_coding	Q8I238	
PF3D7_0109850	phosphatidate cytidylyltransferase, putative	1	383284	386632	1		protein_coding	B9ZSI8	
PF3D7_0103600	ATP-dependent RNA helicase, putative	1	161131	166229	1		protein_coding	Q8I2A4	
PF3D7_0109100	LCCL domain-containing protein	1	365610	368795	1		protein_coding		
PF3D7_0102200	ring-infected erythrocyte surface antigen	1	98819	102282	1		protein_coding	Q8I0U6	
PF3D7_0115400	stevor	1	598465	599472	1		protein_coding	Q8I2C6	
PF3D7_0115700	erythrocyte membrane protein 1, PfEMP1	1	607390	614893	-1		protein_coding	Q8I2C4	
PF3D7_0114200	exported protein family 3	1	550576	551713	-1		protein_coding	Q8I2D6	
PF3D7_0108100	conserved Plasmodium protein, unknown function	1	330738	332708	1		protein_coding		
PF3D7_0101800	stevor	1	87203	88177	-1		protein_coding	Q8I2C0	
PF3D7_0107600	serine/threonine protein kinase, putative	1	314618	319405	1		protein_coding	Q8I265	
PF3D7_0101000	rifin	1	65817	66989	-1		protein_coding	B9ZSH6	
PF3D7_0107100	conserved Plasmodium protein, unknown function	1	295300	296931	-1		protein_coding		
PF3D7_0100400	rifin	1	50363	51636	1		protein_coding	Q9NFB3	
PF3D7_0103900	parasite-infected erythrocyte surface protein	1	172864	174591	1		protein_coding	Q8I2A1	
PF3D7_0105700	asparagine-rich antigen Pfa35-2	1	238666	247857	1		protein_coding	Q8I284	
PF3D7_0110100	selenocysteine-specific elongation factor selB homologue, putative	1	389261	392065	-1		protein_coding	Q8I243	
PF3D7_0106200	conserved Plasmodium protein, unknown function	1	263340	264223	-1		protein_coding		
PF3D7_0104600	conserved Plasmodium protein, unknown function	1	206170	210189	1		protein_coding		
PF3D7_0112200	multidrug resistance-associated protein 1	1	464726	470194	1		protein_coding	Q9U0N4	
PF3D7_0103400	zinc-carboxypeptidase, putative	1	147915	152777	-1		protein_coding	Q8I2A6	Q8I2A6
PF3D7_0104100	conserved Plasmodium membrane protein, unknown function	1	178087	180790	1		protein_coding	Q8I299	
PF3D7_0109400	tubulin-specific chaperone a, putative	1	374439	375087	-1		protein_coding	Q8I250	
PF3D7_0100200	rifin	1	38982	40207	-1		protein_coding	Q9NFB5	
PF3D7_0111900	conserved protein, unknown function	1	450043	450646	-1		protein_coding		
PF3D7_0112100	conserved Plasmodium protein, unknown function	1	454847	455338	1		protein_coding		
PF3D7_0106000	conserved Plasmodium protein, unknown function	1	255775	258543	-1		protein_coding		
PF3D7_0107700	conserved Plasmodium membrane protein, unknown function	1	320168	321508	1		protein_coding	B9ZSI6	
PF3D7_0111500	UMP-CMP kinase, putative	1	439652	441418	-1		protein_coding	Q8I231	
PF3D7_0105500	conserved Plasmodium protein, unknown function	1	228485	229519	-1		protein_coding		
PF3D7_0103300	conserved Plasmodium protein, unknown function	1	143640	146396	-1		protein_coding		
PF3D7_0106100	V-type proton ATPase subunit C, putative	1	260658	261809	-1		protein_coding	Q8I280	
PF3D7_0100600	rifin	1	53778	55006	-1		protein_coding	Q9NFB2	
PF3D7_0115600	rifin	1	604162	605531	1		protein_coding	Q8I2C5	
PF3D7_0106300	calcium-transporting ATPase	1	265208	269173	-1		protein_coding	Q76NN8	
PF3D7_0100800	rifin	1	59772	61003	1		protein_coding	Q9NFB0	
PF3D7_0107300	probable protein, unknown function	1	299562	300868	-1		protein_coding		
PF3D7_0108500	conserved Plasmodium protein, unknown function	1	349170	349709	1		protein_coding		
PF3D7_0102700	merozoite-associated tryptophan-rich antigen	1	124517	125484	1		protein_coding		
PF3D7_0108600	conserved Plasmodium protein, unknown function	1	349995	351626	-1		protein_coding	Q8I256	
PF3D7_0110900	adenylate kinase-like protein 1	1	420293	420853	-1		protein_coding	Q8I236	Q8I236
PF3D7_0115200	rifin	1	591849	593187	1		protein_coding	Q8I2C8	
PF3D7_0103200	nucleoside transporter 4	1	140662	142219	-1		protein_coding	Q8I2A8	
PF3D7_0106800	ras-related protein Rab-5C	1	286951	288918	1		protein_coding	Q8I274	
PF3D7_0113100	surface-associated interspersed protein 1.1 (SURFIN 1.1)	1	495244	500076	1		protein_coding	Q9U0N0	
PF3D7_0113200	Plasmodium exported protein, unknown function	1	500959	502868	-1		protein_coding	B9ZSJ1	
PF3D7_0113300	Plasmodium exported protein (hyp1), unknown function	1	504938	506874	-1		protein_coding	Q9U0M8	Q9U0M8
PF3D7_0113700	heat shock protein 40, type II	1	520807	522579	1		protein_coding	Q8I2E1	
PF3D7_0106900	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative	1	290386	292590	1		protein_coding	Q8I273	
PF3D7_0110000	conserved Plasmodium protein, unknown function	1	388372	389076	1		protein_coding	Q8I244	
PF3D7_0110600	phosphatidylinositol-4-phosphate 5-kinase	1	405739	412169	1		protein_coding	Q8I239	
PF3D7_0111000	kinesin-8, putative	1	421776	427575	-1		protein_coding	Q8I235	
PF3D7_0113800	DBL containing protein, unknown function	1	527107	536351	1		protein_coding	Q8I2E0	
PF3D7_0109600	cold-shock protein, putative	1	377874	378599	-1		protein_coding	Q8I248	
PF3D7_0109800	phenylalanine--tRNA ligase alpha subunit	1	380697	382424	1		protein_coding	Q8I246	
PF3D7_0115000	surface-associated interspersed protein 1.3 (SURFIN 1.3)	1	577704	583789	1		protein_coding	Q8I2D1	
PF3D7_0109700	conserved protein, unknown function	1	379149	379806	-1		protein_coding	Q8I247	
PF3D7_0110500	bromodomain protein, putative	1	396591	403606	1		protein_coding		
PF3D7_0113900	Plasmodium exported protein (hyp8), unknown function	1	537109	538025	-1		protein_coding	Q8I2D9	
PF3D7_0106400	pre-rRNA-processing protein TSR2, putative	1	272454	273404	1		protein_coding	Q8I278	
PF3D7_0107200	carbon catabolite repressor protein 4, putative	1	297362	299397	1		protein_coding		
PF3D7_0112900	Plasmodium exported protein, unknown function	1	486500	487186	1		protein_coding	Q9U0N2	
PF3D7_0103000	vacuolar protein sorting-associated protein VTA1, putative	1	132086	133624	-1		protein_coding		
PF3D7_0109200	cleavage and polyadenylation specificity factor subunit 5, putative	1	369480	370178	-1		protein_coding	Q8I0V9	
PF3D7_0102800	conserved Plasmodium protein, unknown function	1	126318	128141	-1		protein_coding	Q8I2B2	
PF3D7_0108000	proteasome subunit beta type-3, putative	1	328431	329558	-1		protein_coding	Q8I261	
PF3D7_0111400	gametocyte exported protein 19	1	436408	438564	1		protein_coding		
PF3D7_0100900	rifin	1	62187	63400	-1		protein_coding	Q9NFA9	
PF3D7_0108400.1	mitochondrial carrier protein, putative	1	344400	346540	-1		protein_coding	B9ZSI7	
PF3D7_0114000	exported protein family 1	1	542480	546983	1		protein_coding	B9ZSJ2	
PF3D7_0208800	conserved Plasmodium protein, unknown function	2	359142	359849	1		protein_coding	O96174	
PF3D7_0201100	Plasmodium exported protein, unknown function,fragment	2	60107	60319	-1		protein_coding		
PF3D7_0221400	stevor	2	860466	861504	1		protein_coding	O96283	
PF3D7_0205900	26S proteasome regulatory subunit RPN1,putative	2	235237	238816	1		protein_coding	O96153	
PF3D7_0217400	conserved Plasmodium protein, unknown function	2	717692	718281	1		protein_coding	A0A143ZYK0	
